ID	字头	级别	课标字表标记	低段字序	中低段字序	全段字序
1600	检	d	表一	1940	1864	1809
1601	缘	d	表一	2640	2069	1813
1602	淹	c	表一	1072	1461	1531
1603	愁	d	表一	1689	1863	1802
1604	财	c	表一	1681	1659	1527
1605	缠	d	表一	2052	1833	1902
1606	拂	d	表二	1497	1822	1917
1607	帆	d	表一	1381	1565	1808
1608	漠	c	表一	1729	1427	1355
1609	迈	d	表一	1657	1914	1744
1610	犯	d	表一	2259	1871	1698
1611	阶	d	表一	2149	1783	1726
1612	愤	d	表一	1909	1830	1821
1613	悟	c	表一	1109	1217	1276
1614	尤	d	表一	1170	1699	1716
1615	淋	d	表一	950	1527	1714
1616	绩	d	表一	1936	1732	1719
1617	扮	d	表一	1517	1712	1867
1618	牌	c	表一	1366	1526	1585
1619	饥	d	表一	2016	1916	1788
1620	康	c	表一	1203	1560	1565
1621	嗓	d	表一	1205	1680	1807
1622	逢	d	表一	2850	2019	1818
1623	扭	d	表一	1840	1828	1748
1624	昆	c	表一	1253	1399	1539
1625	割	d	表一	1448	1746	1686
1626	益	d	表一	2535	1976	1824
1627	赤	d	表一	1913	1901	1674
1628	蛇	c	表一	948	1139	1188
1629	攀	d	表一	2101	1842	1739
1630	蚁	a	表一	515	776	1101
1631	振	d	表一	1680	1645	1846
1632	详	d	表一	2157	1979	1920
1633	湾	c	表一	992	1376	1445
1634	货	d	表一	1708	1598	1692
1635	衬	d	表一	1914	1906	1905
1636	倍	d	表一	2636	1895	1751
1637	俗	d	表一	2159	1994	1882
1638	辈	d	表一	2022	2056	1881
1639	哩	d	表一	1619	1511	1753
1640	杰	c	表一	1860	1432	1321
1641	杜	d	表一	1349	1569	1762
1642	葱	d	表一	1641	1540	1754
1643	仪	d	表一	1735	1654	1635
1644	悔	d	表一	1805	1950	1901
1645	跌	d	表一	1714	1917	1853
1646	梢	d	表一	1445	1609	1851
1647	爪	a	表一，308	1597	1520	1694
1648	混	d	表一	2260	1896	1823
1649	截	d	表一	2202	1933	1822
1650	怨	d	表一	2112	2044	1919
1651	暑	d	表一	1519	1759	1852
1652	伍	c	表一	1383	1802	1413
1653	效	d	表一	2326	1978	1888
1654	株	c	表一	1560	1342	1426
1655	塑	c	表一	1314	1371	1503
1656	愧	d	表一	1626	2022	1938
1657	昂	d	表一	2020	2032	1906
1658	摩	d	表一	1659	1974	1787
1659	郑	c	表一	1171	1717	1532
1660	骗	c	表一	1320	1660	1589
1661	虾	d	表一	959	1320	1704
1662	黎	d	表一	2631	1607	1750
1663	浩	d	表一	1830	1670	1709
1664	锅	c	表一	2095	1638	1497
1665	厂	a	表一，308	1770	1707	1636
1666	踪	d	表一	1801	1713	1896
1667	狮	b	表一	763	1020	1202
1668	伦	c	表一	1039	1131	1157
1669	芒	d	表一	1916	2009	1886
1670	率	d	表一	2727	1924	1773
1671	耕	d	表一	1472	1694	1925
1672	泽	c	表一	1580	1640	1543
1673	掩	d	表一	1713	1843	1850
1674	距	d	表一	2155	1965	1757
1675	径	d	表一	2725	1743	1790
1676	蜓	d	表一	986	1327	1752
1677	糟	d	表一	1046	1668	1668
1678	绒	d	表一	1565	1673	1861
1679	龄	c	表一	2091	1374	1579
1680	糖	b	表一	1576	1054	1189
1681	厌	d	表一	1775	1888	1999
1682	丹	c	表一	851	1171	1253
1683	讶	d	表二	1807	1964	2065
1684	掀	d	表一	2055	2035	1954
1685	锋	d	表一	1516	1631	1620
1686	嘛	d	表一	1649	1738	1941
1687	吟	d	表一	1803	1797	1785
1688	盒	c	表一	1347	1504	1522
1689	咐	d	表二	1972	1919	1887
1690	君	c	表一	1829	1666	1464
1691	甩	d	表一	1232	1662	1799
1692	蜻	d	表二	971	1309	1699
1693	拐	d	表一	1941	1872	1732
1694	哼	d	表一	1836	1800	2000
1695	鞭	d	表一	2197	1811	1652
1696	弓	c	表一	1246	1509	1581
1697	徒	c	表一	1541	1546	1449
1698	哟	d	表一	1206	1734	1849
1699	抹	d	表一	1834	1762	1890
1700	袭	d	表一	2467	2034	1953
1701	鸦	a	表一	538	957	1274
1702	煮	d	表一	1764	1615	1833
1703	凌	d	表一	2207	2047	1979
1704	烁	d	表二	2380	1925	1777
1705	裤	d	表一	1142	1632	1675
1706	贪	d	表一	1569	1846	2048
1707	栏	c	表一	2096	1716	1515
1708	虑	d	表一	2644	2116	1965
1709	版	d	表一	1219	1904	1870
1710	澈	d	表二	2107	1937	2077
1711	咕	b	表一	864	1045	1391
1712	吴	c	表一	1376	1303	1375
1713	朴	d	表一	2852	2103	1944
1714	毁	d	表一	1838	1815	1840
1715	帘	d	表一	1568	1841	1737
1716	哀	d	表一	2537	1995	1893
1717	纱	d	表一	1660	1977	1856
1718	葡	b	表一	648	975	1210
1719	萄	b	表一	649	976	1211
1720	库	d	表一	1621	1605	1659
1721	坦	c	表一	1859	1330	1365
1722	亭	c	表一	1027	1386	1385
1723	忠	d	表一	1977	1993	1834
1724	宜	d	表一	2023	2094	2075
1725	促	d	表一	2329	2117	1997
1726	毒	d	表一	1740	1819	1671
1727	泊	c	表一	1758	1489	1460
1728	痕	d	表一	2262	1957	1892
1729	徐	b	表一	1307	1059	1171
1730	锁	d	表一	1866	1697	1672
1731	漆	d	表一	2200	1876	1932
1732	私	d	表一	2468	2048	1992
1733	匠	c	表一	1244	1316	1331
1734	慕	d	表一	1873	1887	1970
1735	裙	d	表一	960	1570	1838
1736	范	d	表一	2111	2030	1663
1737	涨	d	表一	2017	1935	2012
1738	崖	c	表一	1655	1870	1577
1739	歪	d	表一	1869	1758	1816
1740	驱	d	表一	2539	2046	1964
1741	额	d	表一	2162	2082	2021
1742	喳	d	表二	809	1294	1656
1743	溅	d	表二	1978	1997	1959
1744	踢	d	表一	1319	1516	1761
1745	秒	d	表一	2256	1799	1776
1746	汤	c	表一	1463	1431	1261
1747	寸	d	表一	1966	1678	1710
1748	恰	d	表一	2013	1898	1847
1749	职	d	表一	2994	1915	1758
1750	骂	d	表一	2464	2005	1684
1751	豫	d	表一	1874	1934	1982
1752	权	d	表一	2474	2192	1664
1753	堵	d	表一	1451	1921	1998
1754	抵	d	表一	2550	2210	2038
1755	搜	d	表一	2730	2043	1734
1756	胳	d	表一	1684	1779	1947
1757	泳	d	表一	1305	1908	2106
1758	宿	d	表一	2059	2077	1897
1759	歇	d	表一	2263	2006	1745
1760	淌	d	表二	2265	2049	2045
1761	链	d	表一	2381	1932	1772
1762	锦	d	表一	2024	2162	1983
1763	狸	a	表二	407	927	1239
1764	狐	a	表一	385	849	1144
1765	簇	d	表二	2042	1681	1811
1766	佳	c	表一	792	1332	1525
1767	啪	d	表二	1646	1657	1717
1768	废	d	表一	2376	1794	1765
1769	拦	d	表一	1741	1877	1948
1770	瑰	c	表二	1011	1447	1513
1771	坑	d	表一	1379	1426	1598
1772	催	d	表一	1839	1824	1977
1773	贺	d	表一	1064	1463	1631
1774	宙	c	表一	1397	1405	1436
1775	奉	d	表一	2648	2201	1974
1776	覆	d	表一	3243	2033	1924
1777	俯	d	表二	2163	2085	2067
1778	欧	d	表一	2009	1729	1632
1779	汪	d	表一	1131	1333	1607
1780	辞	d	表一	2209	2079	1988
1781	毅	d	表一	2100	1840	1733
1782	饶	d	表一	1604	1907	2052
1783	惨	d	表一	2728	1961	1956
1784	啄	d	表二	1137	1360	1626
1785	眯	d	表二	1425	1479	1839
1786	芦	b	表一	892	767	1117
1787	辨	d	表一	1748	2107	2061
1788	桶	d	表一	1303	1708	1683
1789	哨	c	表一	1471	1647	1492
1790	瞬	d	表一	3000	2165	2084
1791	邀	d	表一	2208	2073	2082
1792	龟	b	表一	740	985	1213
1793	钉	d	表一	1185	1464	1649
1794	艘	d	表一	1545	1777	1845
1795	焰	d	表一	1944	2045	1931
1796	泰	c	表一	2325	1912	1535
1797	判	d	表一	2201	1903	1817
1798	莲	d	表一	771	1387	1592
1799	膊	d	表一	1687	1823	1972
1800	炉	c	表一	1582	1696	1540
1801	某	d	表一	2861	2361	2006
1802	择	d	表一	2154	1946	1864
1803	铅	d	表一	1020	1383	1722
1804	杏	c	表一	914	1175	1479
1805	殿	c	表一	2158	1984	1508
1806	呵	d	表一	1685	1787	1855
1807	彼	d	表一	2532	1760	1872
1808	糕	d	表二	858	1620	1658
1809	搞	d	表一	2276	2145	2083
1810	盈	d	表一	1688	1854	1958
1811	亿	d	表一	2378	1852	1883
1812	浸	d	表一	2384	2105	2018
1813	诞	c	表一	2006	1488	1421
1814	倦	d	表一	2108	1988	2033
1815	党	c	表一	1973	1942	1496
1816	扯	d	表一	1981	2063	2137
1817	梨	c	表一	908	1264	1575
1818	票	a	表一，308	926	1231	1378
1819	驰	d	表一	2266	2062	2125
1820	宗	d	表一	2333	2200	1653
1821	耸	d	表一	2549	2209	1993
1822	庞	d	表一	2324	1899	1942
1823	笛	d	表一	1446	1625	1628
1824	闯	d	表一	1810	2095	2091
1825	咚	b		643	1033	1320
1826	殊	d	表一	2268	2104	1989
1827	恢	d	表一	2471	2084	2046
1828	碌	d	表一	1690	1922	2074
1829	雁	d	表一	1511	1566	1930
1830	饰	d	表一	3245	2265	1985
1831	裳	d	表二	1115	1693	1912
1832	罪	d	表一	2222	2245	1798
1833	蓬	d	表一	2462	1980	1939
1834	吻	d	表一	2204	2012	2068
1835	吱	d	表二	1620	1556	1826
1836	芬	c	表一	1313	1317	1374
1837	朱	b	表一	956	1077	1231
1838	畅	d	表一	2060	2128	2131
1839	授	c	表一	1654	1860	1573
1840	竿	d	表二	1304	1776	1832
1841	吊	d	表一	2212	2142	2002
1842	潜	d	表一	1476	1865	1880
1843	荫	d	表二	1779	2131	2186
1844	溢	d	表一	2385	2109	2139
1845	汇	d	表一	2388	2164	2037
1846	苹	b	表一	1053	1068	1412
1847	桂	c	表一	1707	1575	1578
1848	腊	d	表一	1867	1747	1718
1849	檐	d	表二	1606	1960	1946
1850	咽	d	表一	2165	2136	2029
1851	眠	d	表一	1682	1751	1951
1852	输	d	表一	2010	1744	1810
1853	烤	d	表一	2012	1897	1835
1854	俄	d	表一	1843	2024	2062
1855	扁	b	表一	732	1055	1326
1856	凳	d	表一	1217	1725	1913
1857	辽	d	表一	2382	2074	2126
1858	巢	d	表一	1934	1400	1696
1859	凑	d	表一	2220	2219	2181
1860	桑	c	表一	1166	1473	1158
1861	誉	d	表一	2998	2135	1967
1862	啸	d	表二	2480	2297	2004
1863	禾	d	表二	844	1634	2089
1864	柏	d	表一	1589	2090	1759
1865	捷	d	表一	2465	2023	1955
1866	酷	d	表一	2482	2329	2086
1867	菊	d	表一	1543	1677	1687
1868	汹	d	表二	2271	2118	2097
1869	澡	d	表二	1742	1939	2090
1870	衫	d	表一	2645	2123	1910
1871	梯	d	表一	1778	2010	1926
1872	噢	d		1845	2098	2159
1873	疏	d	表一	1872	1878	2023
1875	拢	d	表一	1976	1970	2153
1876	污	d	表一	2152	1929	2054
1877	培	d	表一	1410	1539	1673
1878	扰	d	表一	2117	2204	2238
1879	撕	d	表一	1804	1920	1980
1880	斤	d	表一	2458	1875	1843
1881	劈	d	表二	2166	2144	2043
1882	啼	d	表一	1520	1855	2072
1883	页	a	表一，308	2170	2211	2044
1884	扣	d	表一	1771	1748	1819
1885	臣	c	表一	2144	1664	1433
1886	淘	d	表一	1602	1858	2049
1887	沾	d	表一	1949	2148	2136
1888	庙	c	表一	2195	1648	1556
1889	逝	d	表一	2557	2379	2069
1890	凤	d	表一	1141	1612	1612
1891	捏	d	表一	2018	1951	1909
1892	氏	d	表一	1939	1835	1621
1893	祸	d	表一	2279	2217	2155
1894	嬉	d		1951	2238	2325
1895	媚	d	表二	2637	1983	2099
1896	崇	d	表一	2286	2296	1962
1897	裁	d	表一	1288	1622	1935
1898	娇	d	表一	2021	2036	2066
1899	掠	d	表一	2332	2153	2245
1900	津	d	表一	1600	1771	1918
1901	魂	d	表一		2360	1945
1902	唇	d	表一	1915	1928	1978
1903	窄	d	表一	2327	2059	1990
1904	矿	d	表一	1318	1510	1597
1905	缕	d	表二	2541	2143	2005
1906	域	d	表一	1744	2008	1885
1907	萝	d	表一	1087	1321	1760
1908	秦	c	表一	2014	1900	1088
1909	诺	b	表一	1663	1051	948
1910	贯	d	表一	2272	2125	2035
1911	袖	d	表一	2058	2061	2076
1912	翁	d	表一	1207	1774	1679
1913	填	d	表一	1255	1909	2149
1914	谓	d	表一	3260	2481	2058
1915	钩	d	表一	1572	1987	1783
1916	邮	c	表一	889	1122	1357
1917	笨	d	表二	1585	1853	1937
1918	聊	d	表一	1627	2154	2250
1920	炼	d	表一	2061	2176	2009
1921	罚	d	表一	2395	2267	2026
1922	仇	d	表一	2653	2281	1966
1923	羡	d	表二	1947	2086	2100
1924	腹	d	表一	2738	2221	2200
1925	肤	d	表一	1835	1786	1827
1926	毯	d	表二	1402	1938	2079
1927	惹	d	表一	2219	2206	2333
1928	蒸	d	表一	1658	1969	2122
1929	符	d	表一	2045	1772	2020
1930	寓	d	表一	1322	1866	1969
1931	肠	d	表一	2205	2025	2078
1932	叭	d	表一	1218	1810	2158
1934	棍	d	表一	1746	2072	2050
1935	渡	d	表一	1883	2208	1695
1936	寞	d	表二	2340	2351	2255
1937	贡	d	表一	2164	2126	2055
1938	诸	c	表一	1900	1590	1300
1939	勒	c	表一	1644	1630	1536
1940	盏	d	表二	1828	1644	1797
1941	疯	d	表一	2746	2401	2206
1942	堪	d	表一	2858	2287	2207
1943	拳	d	表一	2323	1867	1984
1944	弥	d	表一	2853	2130	2183
1945	歉	d	表二	1656	1910	2210
1946	呜	d	表二	1186	1496	1842
1947	莺	d	表二	909	1580	1814
1948	筒	d	表一	1918	2078	1986
1949	损	d	表一	2561	2443	2318
1950	姨	d	表一	993	1589	1916
1951	液	d	表一	2206	2031	1857
1952	脾	d	表一	1498	2038	2142
1953	奈	d	表一	1547	2039	2203
1954	嘿	d	表一	1452	2065	2178
1955	绸	d	表一	1875	1967	1995
1956	挽	d	表一	2338	2284	2112
1957	蒲	d	表一	1164	1411	1779
1958	峡	c	表一	2451	1542	1263
1959	惧	d	表一	2863	2400	2201
1960	蜡	d	表一	1598	1568	1623
1961	煌	d	表一	2391	2229	1929
1962	嘱	d	表一	1984	2138	2205
1963	脊	d	表一	2751	2440	2246
1964	萨	d	表一	1267	1567	1619
1965	搂	d	表二	2543	2151	2182
1966	郎	c	表一	1587	1972	1354
1967	棚	d	表一	1809	2058	1981
1968	控	d	表一	2225	2312	2162
1969	汁	d	表一	1950	2168	2228
1970	坪	d	表二	1270	1801	2150
1971	喇	d	表一	1323	1868	2184
1972	瀑	c	表二	791	1195	1277
1973	抄	d	表一	1743	1982	2053
1974	玛	c	表一	1759	1503	1418
1975	旱	d	表一	2334	2212	2093
1976	晕	d	表一	2476	2220	2191
1977	曰	c	表一	3007	2328	1290
1978	叽	d	表二	875	1458	1874
1979	恋	d	表一	2213	2163	2003
1980	帐	d	表一	2173	2266	2013
1981	鸽	d	表一	1044	1449	1723
1982	赵	c	表一	1495	1727	1130
1983	腐	d	表一	2113	2092	1987
1984	揭	d	表一	2335	2232	2189
1985	漾	d	表二	2734	2158	2232
1986	济	d	表一	2649	2230	2095
1987	陌	d	表一	2174	2301	2277
1988	牺	d	表一	2737	2215	2116
1989	愈	d	表一	2854	2175	1735
1990	欺	d	表一	2169	2202	2138
1991	措	d	表一	3008	2333	2385
1992	砸	d	表一	1878	2106	2024
1993	洛	c	表一	1968	1740	1474
1994	援	d	表一	1702	1506	1691
1995	予	d	表一	2732	2129	2168
1996	堤	d	表一	1515	1626	1907
1997	剑	d	表一	2281	2244	1764
1998	舱	d	表一	2198	1851	1865
1999	削	d	表一	1880	2152	2213
2000	籍	d	表一	2401	2352	2257
2001	患	d	表一	2642	2083	2030
2002	乳	d	表一	2455	1809	1952
2003	厨	d	表一	1745	2021	1889
2004	卜	d	表一	1138	1361	1715
2005	钓	c	表一	1002	1476	1490
2006	躯	d	表一	2862	2367	2247
2007	翘	d	表二	1877	2100	2237
2008	衔	d	表一	1846	2140	2311
2009	畔	d	表二	2394	2246	2157
2010	枣	c	表一	884	1202	1461
2011	摄	d	表一	2469	2052	2133
2012	枚	d	表一	1450	1816	1975
2013	虹	d	表一	1385	1936	2059
2014	敞	d	表二	2757	2486	2357
2015	饼	d	表一	1496	1785	1800
2016	廊	d	表一	2460	1966	1903
2017	陡	d	表一	1876	2071	2041
2018	款	d	表一	2639	2002	2146
2019	旺	d	表一	1943	1999	2025
2020	疆	d	表一	1781	2283	2108
2021	瑞	c	表一	1831	1685	1530
2022	膝	d	表一	2859	2314	2219
2023	藤	d	表一	1417	2057	1971
2024	褐	d	表一	2331	2147	2111
2025	绪	d	表一	3005	2300	2248
2026	梳	d	表二	1814	2364	2193
2027	障	d	表一	2386	2110	2156
2028	砖	d	表一	2049	1821	1878
2029	港	d	表一	2632	1689	1622
2030	煤	d	表一	1974	1943	1711
2031	暮	d	表二	2652	2268	2217
2032	亏	d	表一	1851	2320	2406
2033	玲	d	表一	935	1557	1957
2034	烛	c	表一	1823	1408	1450
2035	刹	d	表一	2871	2564	2252
2036	搏	d	表一	2997	2060	2031
2037	谜	d	表一	1603	1879	2064
2038	姆	c	表一	1540	1474	1309
2039	嘲	d	表二	2328	2096	2119
2040	戒	d	表一	1905	1692	1891
2041	罐	b	表一	2087	912	1186
2042	鹊	a	表一	558	963	1322
2043	蹈	d	表一	1989	2239	2348
2044	寺	d	表一	1567	1709	1702
2045	谋	d	表一	2745	2399	2104
2046	疗	d	表一	1980	2050	2081
2047	塌	d	表一	1979	2001	2123
2048	拒	d	表一	2742	2366	2226
2049	觅	d	表二	2393	2236	2302
2050	监	d	表一	2274	2137	2036
2051	螺	d	表一	1826	1535	1725
2052	伐	d	表一	2481	2319	2372
2053	拱	d	表一	1948	2087	2101
2054	菇	d	表一	1073	1610	2027
2055	筝	c	表二	883	1194	1236
2056	蹄	d	表一	2161	2064	2161
2057	誓	d	表二	2646	2167	2225
2058	宏	d	表一	2424	2654	2240
2059	诱	d	表一	3009	2368	2293
2060	鸥	d	表二	1898	1547	1803
2061	蘑	d	表一	1088	1611	2028
2062	涉	d	表一	3272	2676	2344
2063	叉	d	表一	1747	2081	2008
2064	绚	d	表二	2484	2387	2399
2065	玫	d	表一	1028	1577	1647
2066	吩	d	表二	2280	2233	2211
2067	恳	d	表二	2403	2372	2440
2068	堡	d	表一	915	1515	1688
2069	勉	d	表一	2874	2593	2321
2070	婚	d	表一	3246	2280	1940
2071	盗	d	表一	2318	1722	1804
2072	嘻	d	表一	1269	1778	1934
2073	胞	d	表一	2383	2080	1991
2074	陵	d	表一	2857	2264	1778
2075	斧	d	表二	1514	1614	1801
2076	烫	d	表二	2114	2120	2254
2077	腔	d	表一	2404	2381	2132
2078	跪	d	表二	2865	2424	2169
2079	竭	d	表一	2491	2538	2356
2080	缤	d	表二	2285	2292	2457
2081	枕	d	表一	1886	2332	2378
2082	哄	d	表一	1850	2288	2241
2083	乃	d	表一	2748	2423	2047
2084	召	d	表一	2567	2497	2288
2085	辣	d	表一	1881	2157	2135
2086	核	d	表一	1601	1857	1976
2087	谐	d	表一	2866	2429	2445
2088	嘟	d		1466	1522	1914
2089	摊	d	表一	2849	2011	2015
2090	篱	d	表二	1546	1880	2080
2091	嚼	d	表一	2211	2127	2118
2092	丑	c	表一	708	1410	1524
2093	卵	d	表一	1975	1962	2017
2094	嵌	d	表二	2483	2334	2398
2095	枫	d	表一	1415	1683	2010
2096	啥	d	表一	1749	2160	2283
2097	晰	d	表一	2029	2335	2422
2098	咧	d	表二	2167	2198	2396
2099	暂	d	表一		2791	2368
2100	剥	d	表一	2347	2463	2256
2101	眺	d		2663	2467	2427
2102	俊	d	表一	2150	1798	2001
2103	乖	d	表二	1946	2066	2187
2104	坛	d	表一	1912	1889	2042
2105	潭	d	表一	927	1267	1625
2106	赢	d	表一	2390	2205	2315
2107	稚	d	表二	2548	2183	2272
2108	巷	d	表一	2538	2003	2166
2109	迪	c	表一	1530	1119	1173
2110	蚕	d	表一	1233	1958	1904
2111	颈	d	表一	2026	2250	2359
2112	漏	d	表一	2473	2133	2251
2113	拴	d	表二	2545	2170	2280
2114	筐	d	表二	1403	1963	2051
2115	绽	d	表二	2554	2337	2496
2116	括	d	表一	2542	2149	2140
2117	茅	d	表一	1369	1829	1781
2118	丫	d	表二	1849	2286	2175
2119	柜	d	表一	1847	2214	2110
2120	泣	d	表二	2867	2464	2304
2121	缀	d	表二	3021	2633	2461
2122	乏	d	表一	2673	2567	2374
2123	嗡	c	表二	2038	1425	1588
2124	苇	c	表二	1961	1283	1523
2125	鳞	d	表二	1811	2134	2330
2126	喉	d	表一	2475	2194	2270
2127	颊	d	表二	2124	2374	2455
2128	脉	d	表一	2662	2444	2336
2129	协	d	表一	2864	2405	2267
2130	丘	d	表一	2214	2178	2034
2131	赖	d	表一	2565	2482	2192
2132	伊	d	表一	1473	1757	1767
2133	罕	d	表一	2558	2386	2350
2134	竞	d	表一	3254	2402	2220
2136	颠	d	表一	2176	2430	2473
2137	旷	d	表二	2756	2484	2291
2138	岗	d	表一	2072	2499	2308
2139	彻	d	表一	2877	2613	2428
2140	篷	d	表二	2339	2313	2215
2141	葬	d	表一		2537	2148
2142	巍	d	表二	3002	2213	2105
2143	砌	d	表一	2659	2404	2258
2144	峻	d	表一	2765	2656	2266
2145	逮	d	表一	1750	2169	2262
2146	喧	d	表二	3261	2487	2392
2147	隙	d	表一	3003	2271	2337
2148	捆	d	表二	2160	2013	2194
2149	舰	c	表一	2312	1121	1310
2150	痒	d	表一	1605	1953	2324
2151	捞	d	表一	1477	1881	2202
2152	储	d	表一	1996	2411	2395
2153	娜	c	表一	1126	1389	1220
2154	谱	d	表一	2638	1996	1933
2155	窜	d	表二	2069	2446	2379
2156	谊	d	表一	2289	2403	2239
2157	橡	d	表一	1491	1599	2063
2158	搁	d	表二	2749	2427	2403
2159	码	d	表一	2544	2166	2115
2161	巡	d	表一	2275	2141	2362
2162	寿	d	表一	2337	2270	2309
2163	镶	e	表二	2667	2520	2520
2164	绣	d	表一	2658	2373	2442
2165	橘	d	表一	1571	1981	2040
2166	蜒	d	表二	3257	2447	2410
2167	仁	d	表一	2343	2398	2103
2168	郭	d	表一	2146	1691	1769
2169	驮	d	表二	1523	2027	2322
2170	涯	d	表二	2571	2568	2400
2171	御	d	表一	2660	2408	2319
2172	沸	d	表一	2650	2248	2281
2173	茸	d	表二	1431	1790	2185
2174	泻	d	表一	2678	2610	2290
2175	笋	d	表一	835	1369	1900
2176	叼	d	表二	1384	1834	2130
2177	冈	d	表二	1350	1792	1593
2178	熬	d	表一	2178	2539	2423
2179	嗯	d		2066	2413	2438
2180	赠	d	表一	2062	2180	2177
2181	顷	d	表一	3018	2571	2460
2182	畏	d	表二	2882	2634	2466
2183	躬	d	表二	2397	2290	2439
2184	壶	d	表一	1414	1663	1876
2185	坠	d	表二	3020	2611	2376
2186	蔽	d	表一	2665	2488	2443
2187	锐	d	表一	2752	2449	2415
2188	宛	d	表二	2579	2612	2382
2189	币	d	表一	1907	1780	1973
2190	兜	d	表二	2406	2409	2334
2191	跤	d	表二	1527	2139	2282
2192	策	d	表一	2233	2519	2503
2193	盐	d	表一	1712	1682	1961
2194	酿	d	表一	2405	2389	2449
2195	埃	d	表一	2175	2359	1789
2196	滨	d	表一	2733	2146	2087
2197	舔	d	表二	2641	2075	2216
2198	碑	d	表一	1852	2347	1908
2199	奴	c	表一	1937	1739	1430
2200	僵	d	表一	2341	2369	2314
2201	宾	d	表一	2466	2026	2173
2202	熄	d	表二	2479	2269	2265
2203	皆	d	表一	2129	2516	2243
2204	炊	d	表二	2566	2490	2464
2205	吁	d	表一	2273	2132	2188
2206	企	c	表一	1696	1224	1528
2207	均	d	表一	2868	2500	2384
2208	扩	d	表一	3256	2442	2295
2209	绑	d	表二	2559	2406	2273
2210	窟	d	表二	1202	1495	1740
2211	蕴	e	表一		2472	2545
2212	键	d	表一	2572	2569	2401
2213	购	d	表一	2221	2224	2424
2214	肢	e	表一	2668	2522	2537
2215	衰	d	表一	2231	2501	2390
2216	氛	e	表二	2676	2595	2538
2217	孵	d	表一	1774	1882	2263
2218	迁	d	表一	2889	2747	2170
2219	屑	e	表一	2031	2621	2588
2220	捂	d	表二	2277	2190	2456
2221	袍	d	表二	1921	2302	2298
2222	廷	d	表一	1955	2382	2229
2223	翩	d	表二	2153	1930	2144
2224	屁	e	表一	2177	2521	2533
2225	肌	d	表一	2409	2485	2316
2226	苔	d	表二	2470	2053	2224
2227	驻	e	表一	2564	2470	2519
2228	垃	d	表一	1432	2028	2377
2229	峭	d	表二	2172	2259	2197
2230	允	e	表一	2348	2473	2550
2231	驼	c	表一	1341	1312	1332
2232	凄	d	表二	3048	2825	2421
2233	揉	d	表二	1879	2119	2152
2234	圾	d	表一	1433	2029	2394
2235	穗	d	表一	2115	2182	2223
2236	襟	e	表二	2294	2506	2528
2237	杭	d	表一	2344	2410	2342
2238	稿	d	表一	3004	2298	2057
2239	挠	d	表二	1694	2252	2454
2240	棕	d	表一	2118	2207	2412
2241	艇	d	表一	1368	1784	1780
2242	欠	e	表一	2226	2343	2610
2243	尸	d	表一	2873	2592	2303
2244	驴	c	表一	2088	1293	1542
2245	畜	e	表一	2417	2573	2504
2246	戈	d	表一	2278	2216	2145
2247	蝉	c	表二	1618	1452	1463
2248	碍	d	表一	2487	2468	2475
2249	魄	d	表二		2658	2452
2250	趟	d	表一	1958	2412	2419
2251	噜	d		1475	1845	2032
2253	浴	e	表一	1993	2339	2527
2254	恍	d	表二	2743	2375	2459
2255	扛	d	表二	1782	2331	2369
2256	燥	e	表一	2679	2622	2603
2257	讯	e	表一	2492	2540	2505
2258	絮	d	表二	2299	2570	2408
2259	恭	d	表一	2216	2185	2331
2260	颇	d	表一	3295	3004	1866
2261	臭	e	表一	2229	2458	2652
2262	锯	d	表二	1715	2101	2329
2263	敦	d	表一	2551	2256	2014
2264	糙	e	表二	2295	2510	2642
2265	嫌	d	表一	2666	2502	2409
2266	衡	d	表一	1653	1859	2121
2267	滔	d	表二	2402	2362	2165
2268	攒	d		2128	2451	2448
2269	凿	d	表二	2547	2177	2019
2270	昼	d	表二		2660	2499
2271	垒	d	表二	1995	2353	2312
2273	馋	e	表二	2001	2509	2629
2274	弦	d	表一	3250	2363	2171
2275	粘	d	表一	2562	2453	2463
2276	叨	e	表二	1924	2469	2501
2277	咳	d	表一	2223	2247	2231
2278	勾	d	表一	2883	2655	2261
2279	豹	d	表一	2320	1769	1713
2280	咯	d		1570	1891	2107
2281	棋	d	表一	1588	1998	2016
2283	溶	d	表一	1629	2321	2453
2284	桩	d	表一	1716	2111	2236
2285	辱	d	表一		2720	2417
2286	杖	d	表二	2657	2365	2196
2287	帕	d	表一	1625	1989	2073
2288	爹	d	表一	1518	1742	1736
2289	鹤	d	表一	1029	1770	1875
2290	墓	d	表一	2568	2536	2127
2291	仓	d	表一	2109	1991	2230
2292	纤	d	表一	2073	2504	2493
2293	榴	d	表二	1777	1945	1791
2294	秃	d	表二	1780	2159	2269
2295	铲	d	表二	2215	2181	2198
2296	询	e	表一	2672	2555	2582
2297	盲	d	表一	1430	1619	1654
2298	吾	d	表一	2127	2397	1996
2299	辰	e	表二	1959	2418	2563
2300	络	e	表一	2408	2471	2535
2301	曼	d	表一	2046	1782	1681
2302	惩	e	表一	2582	2640	2591
2303	谅	d	表二	3265	2550	2478
2304	渊	d	表二	3006	2315	2292
2305	哑	d	表一	2647	2195	2289
2306	颂	e	表一	2496	2594	2536
2307	葛	c	表一	1736	1665	1441
2308	婉	e	表二	2753	2455	2508
2309	蝇	d	表一	1848	2218	2179
2310	估	d	表一	2594	2793	2465
2311	斥	e	表一	2754	2456	2604
